03;[(19, 29, 28, 20, 11, 12, 13, 3, 4), (77, 69, 78, 70, 62, 53, 44, 52), (41, 51)]
03;[(19, 29, 28, 20, 11, 12, 13, 4, 3), (77, 69, 78, 70, 62, 53, 52, 44), (41, 51)]
03;[(19, 29, 28, 20, 11, 12, 4, 13, 3), (77, 69, 78, 70, 62, 52, 53, 44), (41, 51)]
03;[(19, 29, 28, 20, 11, 3, 12, 13, 4), (77, 69, 78, 70, 62, 53, 52, 44), (41, 51)]
03;[(19, 29, 28, 20, 11, 3, 12, 4, 13), (77, 69, 78, 70, 62, 53, 44, 52), (41, 51)]
03;[(19, 29, 28, 20, 11, 3, 13, 12, 4), (77, 69, 78, 70, 62, 52, 53, 44), (41, 51)]
03;[(19, 29, 28, 20, 11, 3, 13, 4, 12), (77, 69, 78, 70, 62, 52, 44, 53), (41, 51)]
03;[(20, 29, 28, 19, 11, 12, 13, 3, 4), (77, 69, 78, 70, 62, 53, 44, 52), (41, 51)]
03;[(20, 29, 28, 19, 11, 12, 13, 4, 3), (77, 69, 78, 70, 62, 53, 52, 44), (41, 51)]
03;[(20, 29, 28, 19, 11, 12, 4, 13, 3), (77, 69, 78, 70, 62, 52, 53, 44), (41, 51)]
03;[(20, 29, 28, 19, 11, 3, 12, 13, 4), (77, 69, 78, 70, 62, 53, 52, 44), (41, 51)]
03;[(20, 29, 28, 19, 11, 3, 12, 4, 13), (77, 69, 78, 70, 62, 53, 44, 52), (41, 51)]
03;[(20, 29, 28, 19, 11, 3, 13, 12, 4), (77, 69, 78, 70, 62, 52, 53, 44), (41, 51)]
03;[(20, 29, 28, 19, 11, 3, 13, 4, 12), (77, 69, 78, 70, 62, 52, 44, 53), (41, 51)]
04;[(19, 29, 28, 20, 11, 12, 13, 3, 4), (68, 69, 78, 70, 62, 53, 44, 52), (41, 51)]
04;[(19, 29, 28, 20, 11, 12, 13, 4, 3), (68, 69, 78, 70, 62, 53, 52, 44), (41, 51)]
04;[(19, 29, 28, 20, 11, 12, 4, 13, 3), (68, 69, 78, 70, 62, 52, 53, 44), (41, 51)]
04;[(19, 29, 28, 20, 11, 3, 12, 13, 4), (68, 69, 78, 70, 62, 53, 52, 44), (41, 51)]
04;[(19, 29, 28, 20, 11, 3, 12, 4, 13), (68, 69, 78, 70, 62, 53, 44, 52), (41, 51)]
04;[(19, 29, 28, 20, 11, 3, 13, 12, 4), (68, 69, 78, 70, 62, 52, 53, 44), (41, 51)]
04;[(19, 29, 28, 20, 11, 3, 13, 4, 12), (68, 69, 78, 70, 62, 52, 44, 53), (41, 51)]
05;[(18, 27, 28, 19, 11, 3, 12, 13, 4), (68, 69, 78, 70, 62, 53, 44, 52), (66, 56)]
05;[(19, 29, 28, 20, 11, 3, 12, 13, 4), (77, 69, 78, 70, 62, 52, 53, 44), (41, 51)]
05;[(19, 29, 28, 20, 11, 3, 12, 13, 4), (77, 69, 78, 70, 62, 53, 44, 43), (50, 42)]
05;[(19, 29, 28, 20, 11, 3, 12, 13, 4), (77, 69, 78, 70, 62, 53, 44, 52), (41, 51)]
05;[(20, 29, 28, 19, 11, 3, 12, 13, 4), (77, 69, 78, 70, 62, 53, 44, 43), (50, 42)]
05;[(20, 29, 28, 19, 11, 3, 12, 13, 4), (77, 69, 78, 70, 62, 53, 44, 52), (41, 51)]
